Title,Sub-category,Category,Author,Seller Name,Current Price,Origin Price,Review Rating,Sales,Publisher,Paper Size,Cover Type,Num Pages
Tâm Lý Học Về Tiền,"Sách tài chính, tiền tệ",Sách kinh tế,Morgan Housel,Bookslife,113.000 ₫,189.000 ₫,4.8,83, Nhà Xuất Bản Dân Trí, 13 x 20.5 cm, Bìa mềm,384
"Think And Grow Rich - 13 Nguyên Tắc Nghĩ Giàu, Làm Giàu (Tái Bản)",Sách kỹ năng làm việc,Sách kinh tế,Napoleon Hill,Tiki Trading,73.700 ₫,110.000 ₫,4.8,1000+, Nhà Xuất Bản Lao Động, 15.5 x 24 cm, Bìa mềm,399
Dạy Con Làm Giàu (Tập 1) - Để Không Có Tiền Vẫn Tạo Ra Tiền - Cha Giàu Cha Nghèo (Tái Bản),Bài học kinh doanh,Sách kinh tế,Robert T. Kiyosaki,Nhà sách Fahasa,34.300 ₫,65.000 ₫,4.9,1000+,Công ty phát hành NXB Trẻ, 15 x 20.5 cm, Bìa mềm,193
Người Nam Châm (Tái Bản 2019),Sách kỹ năng làm việc,Sách kinh tế,Jack Canfield & DD.Watkins,Tiki Trading,41.000 ₫,65.000 ₫,4.8,1000+,Công ty phát hành Thái Hà, 13 x 20.5 cm, Bìa mềm,194
Chiến Tranh Tiền Tệ - Phần 1 - Ai Thực Sự Là Người Giàu Nhất Thế Giới ( Tái Bản 2022),"Sách tài chính, tiền tệ",Sách kinh tế,Song Hong Bing,Tiki Trading,108.000 ₫,165.000 ₫,4.9,1000+, Nhà Xuất Bản Lao Động, 16x24, Bìa mềm,532
Think And Grow Rich - Nghĩ Giàu Và Làm Giàu,Bài học kinh doanh,Sách kinh tế,Napoleon Hill,Tiki Trading,80.300 ₫,110.000 ₫,4.8,1000+, Nhà Xuất Bản Tổng hợp TP.HCM, 14 x 20.5 cm, Bìa mềm,450
Người Giàu Có Nhất Thành Babylon (Tái Bản 2020),Bài học kinh doanh,Sách kinh tế,GEORGE SAMUEL CLASON,Nhà sách Fahasa,66.600 ₫,98.000 ₫,4.8,1000+, Nhà Xuất Bản Tổng hợp TP.HCM, 13 x 20.5 cm, Bìa gập,216
7 Thói Quen Hiệu Quả (The 7 Habits Of Highly Effective People) (Tái Bản),Sách kỹ năng làm việc,Sách kinh tế,Stephen R. Covey,Tiki Trading,177.000 ₫,250.000 ₫,4.9,1000+, Nhà Xuất Bản Tổng hợp TP.HCM, 15 x 23 cm, Bìa cứng,536
Nhà Đầu Tư Thông Minh (Tái Bản 2020),Sách kỹ năng làm việc,Sách kinh tế,Benjamin Graham,Tiki Trading,129.350 ₫,199.000 ₫,4.8,1000+, Nhà Xuất Bản Thế Giới," 15,5 x 24 cm", Bìa mềm,644
90-20-30 90 Bài Học Vỡ Lòng Về Ý Tưởng Và Câu Chữ (Bản Đen Trắng),Sách Marketing - Bán hàng,Sách kinh tế,Huỳnh Vĩnh Sơn,Tiki Trading,136.500 ₫,195.000 ₫,4.9,1000+, Nhà Xuất Bản Dân Trí, 23.5 x 15.5 cm, Bìa mềm,420
Storytelling With Data - Kể Chuyện Thông Qua Dữ Liệu (Cuốn Cẩm Nang Hướng Dẫn Trực Quan Hóa Dữ Liệu),Sách kỹ năng làm việc,Sách kinh tế,Cole Nussbaumer Knaflic,Tiki Trading,220.000 ₫,319.000 ₫,4.9,1000+, Nhà Xuất Bản Thế Giới, 18.5 x 23 cm, Bìa mềm,280
Đừng Bao Giờ Đi Ăn Một Mình (Tái Bản),Bài học kinh doanh,Sách kinh tế,"Keith Ferrazzi, Tahl Raz",Tiki Trading,68.800 ₫,112.000 ₫,4.8,1000+,Công ty phát hành NXB Trẻ, 14.5 x 20.5 cm, Bìa mềm,388
Không Bao Giờ Là Thất Bại - Tất Cả Là Thử Thách (Ấn Bản Cập Nhật Đầy Đủ Nhất)(Bìa Cứng),Bài học kinh doanh,Sách kinh tế,Chung Ju Yung,Tiki Trading,195.000 ₫,268.000 ₫,4.9,1000+, Nhà Xuất Bản Dân Trí, 16 x 24 cm, Bìa cứng,512
9 Lần Khởi Nghiệp - Chuyện Kể Về Những Thất Bại Và Thành Công Của Một Triệu Phú,Sách doanh nhân,Sách kinh tế,Nguyễn Phương Nam,KHỞI NGHIỆP BOOK,155.000 ₫,179.000 ₫,4.9,1000+, Nhà Xuất Bản Thế Giới,, Bìa mềm,260
Chiến Tranh Tiền Tệ - Phần 2 - Sự Thống Trị Của Quyền Lực Tài Chính ( Tái Bản 2022),"Sách tài chính, tiền tệ",Sách kinh tế,Song Hong Bing,Tiki Trading,112.000 ₫,170.000 ₫,4.9,676, Nhà Xuất Bản Lao Động, 16x24 cm, Bìa mềm,632
Digital Marketing - Từ Chiến Lược Đến Thực Thi (Tái Bản 2020),Sách Marketing - Bán hàng,Sách kinh tế,.,Tiki Trading,154.000 ₫,220.000 ₫,4.7,1000+, Nhà Xuất Bản Lao Động, 23.9 x 17 cm, Bìa mềm,250
Những Kẻ Xuất Chúng (Tái Bản),Sách kinh tế học,Sách kinh tế,Malcolm Gladwell,Omega Plus Books,103.350 ₫,159.000 ₫,4.9,114, Nhà Xuất Bản Thế Giới, 13 x 20.5 cm, Bìa mềm,416
"Rio Book No.1 - Xấu Thế Nào, Đẹp Ra Sao - Bí Kíp Thẩm Định Thiết Kế Trong Marketing (Tái Bản Lần 6)",Sách Marketing - Bán hàng,Sách kinh tế,Rio Creative,Tiki Trading,122.500 ₫,175.000 ₫,4.9,1000+, Nhà Xuất Bản Lao Động, 20.5 x 15.5 cm, Bìa mềm,200
Tuần Làm Việc 4 Giờ (Tái Bản),Sách kỹ năng làm việc,Sách kinh tế,Timothy Ferris,Nhà sách Fahasa,63.700 ₫,115.000 ₫,4.9,205, Nhà Xuất Bản Lao Động, 15.5 x 24 cm, Bìa mềm,342
Người Bán Hàng Vĩ Đại Nhất Thế Giới (Tái Bản 2020),Bài học kinh doanh,Sách kinh tế,Og Mandino,Nhà sách Fahasa,99.800 ₫,148.000 ₫,4.8,422, Nhà Xuất Bản Tổng hợp TP.HCM, 13 x 20.5 cm, Bìa gập,116
Dạy Con Làm Giàu (Tập 2) - Sử Dụng Đồng Vốn (Tái Bản 2020),Bài học kinh doanh,Sách kinh tế,Robert T. Kiyosaki,Tiki Trading,107.500 ₫,120.000 ₫,4.9,1000+, NXB Trẻ, 14 x 20 cm, Bìa mềm,360
Khởi Nghiệp Bán Lẻ - Bí Quyết Thành Công Và Giàu Có Bằng Những Cửa Hàng Đông Khách - Công Thức Kinh Doanh Và Quản Lý Cửa Hàng Hiệu Quả,Sách khởi nghiệp,Sách kinh tế,Trần Thanh Phong,KHỞI NGHIỆP BOOK,114.000 ₫,199.000 ₫,4.8,1000+, Nhà Xuất Bản Đà Nẵng,, Bìa mềm,266
Khởi Nghiệp Tinh Gọn (The Lean Startup) (Tái Bản),Sách khởi nghiệp,Sách kinh tế,Eric Ries,Tiki Trading,114.000 ₫,165.000 ₫,4.9,1000+, Nhà Xuất Bản Tổng hợp TP.HCM, 15 x 23 cm, Bìa cứng,336
Bắt Đầu Với Câu Hỏi Tại Sao - Nghệ Thuật Truyền Cảm Hứng Trong Kinh Doanh (Tái Bản),Sách kỹ năng làm việc,Sách kinh tế,Simon Sinek,Nhà sách Fahasa,66.200 ₫,109.000 ₫,5,255, Nhà Xuất Bản Công Thương, 14.5 x 20.5 cm, Bìa mềm,346
Content Bạc Tỷ,Sách Marketing - Bán hàng,Sách kinh tế,Diệp Tiểu Ngư,Bookslife,89.000 ₫,149.000 ₫,4.5,3, Nhà Xuất Bản Công Thương, 13 x 20.5 cm, Bìa mềm,384
How Money Works - Hiểu Hết Về Tiền,Bài học kinh doanh,Sách kinh tế,Dịch giả Bùi Thị Quỳnh Chi,Tiki Trading,195.000 ₫,300.000 ₫,4.7,1000+,Công ty phát hành Nhã Nam, 19.5x23 cm, Bìa mềm,257
