price, origin,condition,carType,km,carColor,interiorColor,carDoor,carSeat,gear,wheelDrive,carMaker,yearsManufacturing,capacity,carEngine
2490.0,Nhập khẩu,Xe đã dùng,SUV,40000,Đỏ,Nâu,5,5.0,Số tự động,"AWD,4 bánh toàn thời gian",Lexus,2016,2.0,Xăng
825.0,Nhập khẩu,Xe đã dùng,Bán tải / Pickup,0,Đồng,Nâu,4,5.0,Số tự động,"4WD,Dẫn động 4 bánh",Ford,2017,3.2,Dầu
619.0,Lắp ráp trong nước,Xe mới,Bán tải / Pickup,0,Trắng,Đen,4,5.0,Số tay,"RFD,Dẫn động cầu sau",Ford,2022,2.2,Dầu
1660.0,Lắp ráp trong nước,Xe đã dùng,Sedan,48000,Đen,Đen,4,5.0,Số tự động,"RFD,Dẫn động cầu sau",Mercedes,2017,2.0,Xăng
500.0,Lắp ráp trong nước,Xe mới,Sedan,0,Trắng,Đen,4,5.0,Số tự động,"FWD,Dẫn động cầu trước",Hyundai,2021,1.4,Xăng
2069.0,Nhập khẩu,Xe mới,SUV,0,Xanh,Xám,5,7.0,Số tự động,"RFD,Dẫn động cầu sau",Mercedes,2022,1.3,Xăng
9550.0,Nhập khẩu,Xe đã dùng,SUV,12600,Trắng,Nâu,5,5.0,Số tự động,"AWD,4 bánh toàn thời gian",LandRover,2021,3.0,Xăng
881.0,Lắp ráp trong nước,Xe mới,Sedan,0,Xanh,Ghi,4,5.0,Số tự động,"RFD,Dẫn động cầu sau",VinFast,2022,2.0,Xăng
2310.0,Lắp ráp trong nước,Xe mới,Sedan,0,Đen,Nâu,4,5.0,Số tự động,"RFD,Dẫn động cầu sau",Mercedes,2022,2.0,Xăng
1015.0,Lắp ráp trong nước,Xe mới,SUV,0,Trắng,Đen,5,7.0,Số tay,"RFD,Dẫn động cầu sau",Toyota,2022,2.4,Dầu
2129.0,Lắp ráp trong nước,Xe mới,SUV,0,Trắng,Đen,5,5.0,Số tự động,"AWD,4 bánh toàn thời gian",Mercedes,2022,2.0,Xăng
