id,car,price, origin,condition,carType,km,carColor,interiorColor,carDoor,carSeat,engine,gear,wheelDrive
Mã: 4367562,Lexus RX 200t - 2016,2490000000,Nhập khẩu,Xe đã dùng,SUV,"40,000 Km",Đỏ,Nâu,5 cửa,5 chỗ,Xăng2.0L,Số tự động,AWD - 4 bánh toàn thời gian
Mã: 4394448,Ford Ranger Wildtrak 3.2L 4x4 AT - 2017,825000000,Nhập khẩu,Xe đã dùng,Bán tải / Pickup,0 Km,Đồng,Nâu,4 cửa,5 chỗ,Dầu3.2L,Số tự động,4WD - Dẫn động 4 bánh
Mã: 4415173,Ford Ranger XLS 2.2L 4x2 MT - 2022,619000000,Lắp ráp trong nước,Xe mới,Bán tải / Pickup,0 Km,Trắng,Đen,4 cửa,5 chỗ,Dầu2.2L,Số tay,RFD - Dẫn động cầu sau
Mã: 4304737,Mercedes Benz E class E250 - 2017,1660000000,Lắp ráp trong nước,Xe đã dùng,Sedan,"48,000 Km",Đen,Đen,4 cửa,5 chỗ,Xăng2.0L,Số tự động,RFD - Dẫn động cầu sau
Mã: 3993944,Hyundai Accent 1.4 AT - 2021,500000000,Lắp ráp trong nước,Xe mới,Sedan,0 Km,Trắng,-,4 cửa,5 chỗ,Xăng1.4L,Số tự động,FWD - Dẫn động cầu trước
Mã: 4378878,Mercedes Benz GLB 200 AMG - 2022,2069000000,Nhập khẩu,Xe mới,SUV,0 Km,Xanh,Xám,5 cửa,7 chỗ,Xăng1.3L,Số tự động,RFD - Dẫn động cầu sau
Mã: 4304465,LandRover Range Rover Autobiography LWB 3.0 I6 - 2021,9550000000,Nhập khẩu,Xe đã dùng,SUV,"12,600 Km",Trắng,Nâu,5 cửa,5 chỗ,Xăng3.0L,Số tự động,AWD - 4 bánh toàn thời gian
Mã: 3877658,VinFast Lux A 2.0 Tiêu chuẩn - 2022,881000000,Lắp ráp trong nước,Xe mới,Sedan,0 Km,Xanh,Ghi,4 cửa,5 chỗ,Xăng2.0L,Số tự động,RFD - Dẫn động cầu sau
Mã: 3730528,Mercedes Benz E class E200 Exclusive - 2022,2310000000,Lắp ráp trong nước,Xe mới,Sedan,0 Km,Đen,Nâu,4 cửa,5 chỗ,Xăng2.0L,Số tự động,RFD - Dẫn động cầu sau
Mã: 3426083,Toyota Fortuner 2.4G 4x2 MT - 2022,1015000000,Lắp ráp trong nước,Xe mới,SUV,0 Km,Trắng,Đen,5 cửa,7 chỗ,Dầu2.4L,Số tay,RFD - Dẫn động cầu sau
Mã: 4258000,Mercedes Benz GLC 200 4Matic - 2022,2129000000,Lắp ráp trong nước,Xe mới,SUV,0 Km,Trắng,Đen,5 cửa,5 chỗ,Xăng2.0L,Số tự động,AWD - 4 bánh toàn thời gian
Mã: 3537685,Ford Everest Titanium 2.0L 4x4 AT - 2022,1412000000,Nhập khẩu,Xe mới,SUV,0 Km,Trắng,Đen,5 cửa,7 chỗ,Dầu2.0L,Số tự động,4WD - Dẫn động 4 bánh
Mã: 3778992,Isuzu Dmax LS 1.9L 4x2 AT - 2021,615000000,Nhập khẩu,Xe mới,Bán tải / Pickup,0 Km,Trắng,Xám,4 cửa,5 chỗ,Dầu1.9L,Số tự động,RFD - Dẫn động cầu sau
Mã: 4400523,Mercedes Benz E class E250 - 2017,1680000000,Lắp ráp trong nước,Xe đã dùng,Sedan,"50,000 Km",Xanh,Đen,4 cửa,5 chỗ,Xăng2.0L,Số tự động,RFD - Dẫn động cầu sau
