,IMDB_Rating
95,7.4
3042,6.7
2781,6.5
4454,6.5
240,5.9
1485,4.6
2658,8.3
3253,6.7
2574,5.1
3400,3.5
2542,4.6
2425,4.6
353,7.6
759,6.1
1231,5.2
3214,5.2
3543,8.0
2172,6.4
465,8.5
3392,7.8
3113,5.1
2654,6.7
1666,6.3
3613,4.2
3688,4.1
29,6.5
3008,6.6
2942,3.3
3437,2.9
944,7.1
877,8.2
1225,6.8
177,5.4
3198,6.4
881,6.7
1971,8.1
2442,6.1
4353,6.0
4175,5.4
1938,6.7
2725,8.6
2284,7.6
73,5.7
445,5.6
2932,5.8
1183,6.5
1255,5.4
1055,6.2
30,9.2
4316,7.1
2290,6.0
3161,6.0
2591,6.0
52,6.5
402,7.9
4331,8.0
1973,6.5
436,7.5
1488,6.1
1260,4.4
912,5.2
3427,8.0
2875,4.4
564,7.9
1862,6.5
3951,8.0
4214,5.5
26,6.3
4335,2.5
893,7.3
3616,5.4
214,4.4
903,6.7
450,6.8
2704,6.8
3372,4.2
4287,6.6
1769,6.1
4378,8.6
183,7.9
12,4.6
2715,3.2
3968,6.5
321,6.9
1103,3.2
2389,6.8
655,6.8
4383,4.7
3612,5.4
1786,4.6
1187,8.1
2167,6.6
2977,4.3
1554,7.3
527,7.8
1001,7.7
122,6.7
1378,7.0
1289,5.2
44,7.9
289,7.2
4109,4.1
4060,5.8
2182,7.3
1020,6.1
1412,5.6
1872,6.0
2004,5.7
354,8.6
1814,5.2
3829,6.6
990,6.3
4350,5.3
2951,6.4
1627,6.0
4440,7.8
1114,7.1
801,7.4
1356,7.5
534,8.0
3562,5.8
2726,6.3
2328,6.5
1972,6.4
2005,6.5
256,6.9
2707,4.0
3524,4.8
2605,7.3
2181,5.5
2086,6.3
647,6.4
2437,5.6
2321,7.1
1146,6.3
1461,5.9
4312,2.4
2014,7.1
2240,6.4
3899,7.3
1760,6.9
2498,4.5
263,7.7
2388,9.4
56,7.0
4354,6.3
2943,4.7
4269,2.2
1164,7.4
2526,3.4
1670,6.5
682,6.1
1595,5.6
1321,8.4
2279,7.8
286,8.2
2510,5.0
2031,6.9
2221,6.9
2225,6.5
4349,3.8
2487,6.5
736,7.7
1161,6.6
