,Name,Price,Rating,Reviews,Location
0,Lucky Star Hotel 266 De Tham,165.0,8.2,1004.0,"District 1, Ho Chi Minh City"
1,Eden Garden Hotel,160.0,8.0,377.0,"District 1, Ho Chi Minh City"
2,Ngan Ha Hotel,516.0,8.1,113.0,"District 1, Ho Chi Minh City"
3,Anh Duy Hotel - Nguyễn Công Trứ The Bitexco Neighbour,90.0,8.0,152.0,"District 1, Ho Chi Minh City"
4,Calista Sai Gon Hotel,748.0,8.6,191.0,"District 1, Ho Chi Minh City"
5,Metro Points HCM Hotel- Bến Thành Market,431.661,7.4,87.0,"District 1, Ho Chi Minh City"
6,Cochin Sang Hotel,1152.0,9.0,82.0,"District 1, Ho Chi Minh City"
7,GK Central Hotel,833.58,8.2,434.0,"District 1, Ho Chi Minh City"
8,Duc Vuong Saigon Hotel - Bui Vien,508.478,8.5,139.0,"District 1, Ho Chi Minh City"
9,HOME Hotel,810.185,9.2,148.0,"Phu Nhuan, Ho Chi Minh City"
10,Au Lac Charner Hotel,1931.321,8.9,1093.0,"District 1, Ho Chi Minh City"
11,Hà Nội Hotel,778.523,8.0,472.0,"Tan Binh, Ho Chi Minh City"
12,Vilion Boutique Hotel Ben Thanh,117.0,7.5,48.0,"District 1, Ho Chi Minh City"
13,LA VELA Saigon Hotel,1653.692,8.2,612.0,"District 3, Ho Chi Minh City"
14,Sunrise Central Hotel,742.9,7.8,176.0,"District 1, Ho Chi Minh City"
15,The Myst Dong Khoi,3158.163,8.6,1129.0,"District 1, Ho Chi Minh City"
16,The One Premium Hotel,487.5,8.0,53.0,"District 1, Ho Chi Minh City"
17,Cola's Homestay,368.64,8.9,307.0,"District 3, Ho Chi Minh City"
18,Emerald Central,570.591,8.8,199.0,"District 3, Ho Chi Minh City"
19,9 Hostel and Bar,353.832,8.2,904.0,"District 1, Ho Chi Minh City"
20,Silverland Yen Hotel,2238.39,8.8,932.0,"District 1, Ho Chi Minh City"
21,Ibis Saigon Airport,1152.0,8.3,944.0,"Tan Binh, Ho Chi Minh City"
22,Emerald Serviced Apartment,587.4,9.1,28.0,"District 7, Ho Chi Minh City"
23,Caravelle Saigon,3296.456,8.9,522.0,"District 1, Ho Chi Minh City"
24,Fusion Suites Saigon,3218.984,9.0,1057.0,"District 1, Ho Chi Minh City"
25,Orchids Saigon Hotel,1477.59,8.9,2112.0,"District 3, Ho Chi Minh City"
26,Quý Hùng Hotel - City Centre,389.52,7.3,195.0,"District 1, Ho Chi Minh City"
27,Sao Mai Hotel,180.0,7.7,133.0,"District 5, Ho Chi Minh City"
28,New World Saigon Hotel,2901.28,8.8,369.0,"District 1, Ho Chi Minh City"
29,Paradise Saigon Boutique Hotel & Spa,1029.6,8.2,336.0,"District 1, Ho Chi Minh City"
30,DDA Hotel District 1- Bùi Viện-Đề Thám Walking Street,90.0,7.8,187.0,"District 1, Ho Chi Minh City"
31,Alagon Saigon Hotel & Spa,883.575,8.2,687.0,"District 1, Ho Chi Minh City"
32,Hotel Misaki Saigon Airport,1440.0,8.4,16.0,"Tan Binh, Ho Chi Minh City"
33,8B Aparthotel,850.0,9.2,103.0,"Tan Binh, Ho Chi Minh City"
34,Hotel Nikko Saigon,2411.565,9.0,681.0,"District 1, Ho Chi Minh City"
35,Emerald Boutique Hotel,216.0,8.0,107.0,"District 1, Ho Chi Minh City"
36,Liberty Central Saigon Citypoint,3438.184,8.7,644.0,"District 1, Ho Chi Minh City"
37,Air Star Hotel,919.0,8.6,40.0,"Tan Binh, Ho Chi Minh City"
38,UpTown Hotel,730.431,8.4,590.0,"District 1, Ho Chi Minh City"
39,Novotel Saigon Centre,2200.0,8.0,212.0,"District 3, Ho Chi Minh City"
40,Saigon Fairy Land - Masteri Millennium,1620.0,9.2,25.0,"District 4, Ho Chi Minh City"
41,Lucky Star Hotel 146 Nguyen Trai,176.0,8.2,925.0,"District 1, Ho Chi Minh City"
42,S Lux Apartment,1232.5,9.0,54.0,"District 4, Ho Chi Minh City"
43,Prostyle Hotel Ho Chi Minh プロスタイルホテルホーチミン,1290.913,8.3,244.0,"District 1, Ho Chi Minh City"
44,Indochine Ben Thanh Hotel & Apartments,1125.0,8.2,726.0,"District 1, Ho Chi Minh City"
45,Sofitel Saigon Plaza,4000.0,8.6,221.0,"District 1, Ho Chi Minh City"
46,Oscar Saigon Hotel,686.057,7.9,272.0,"District 1, Ho Chi Minh City"
47,Gia Long King Hotel,720.0,8.6,569.0,"District 1, Ho Chi Minh City"
48,Ace Hotel Ben Thanh,120.0,7.7,189.0,"District 1, Ho Chi Minh City"
49,EdenStar Saigon Hotel & Spa,1102.152,8.4,326.0,"District 1, Ho Chi Minh City"
50,The Blue Airport Hotel,450.0,7.2,187.0,"Tan Binh, Ho Chi Minh City"
51,Grand Hotel Saigon,3638.013,8.6,1379.0,"District 1, Ho Chi Minh City"
52,Adora Art Hotel,560.0,8.6,318.0,"District 1, Ho Chi Minh City"
53,Vy Vy Airport Hotel,440.0,8.6,333.0,"Tan Binh, Ho Chi Minh City"
54,Vilion Central Hotel,117.0,7.0,464.0,"District 1, Ho Chi Minh City"
55,PARKROYAL Saigon,1972.599,8.3,93.0,"Tan Binh, Ho Chi Minh City"
