,Name,Price,Rating,Reviews,Location
0,Lucky Star Hotel 266 De Tham,"165,000",8.2,"1,004","District 1, Ho Chi Minh City"
1,Eden Garden Hotel,"160,000",8.0,377,"District 1, Ho Chi Minh City"
2,Ngan Ha Hotel,"516,000",8.1,113,"District 1, Ho Chi Minh City"
3,Anh Duy Hotel - Nguyễn Công Trứ The Bitexco Neighbour,"90,000",8.0,152,"District 1, Ho Chi Minh City"
4,Calista Sai Gon Hotel,"748,000",8.6,191,"District 1, Ho Chi Minh City"
5,Metro Points HCM Hotel- Bến Thành Market,"431,661",7.4,87,"District 1, Ho Chi Minh City"
6,Cochin Sang Hotel,"1,152,000",9.0,82,"District 1, Ho Chi Minh City"
7,GK Central Hotel,"833,580",8.2,434,"District 1, Ho Chi Minh City"
8,Duc Vuong Saigon Hotel - Bui Vien,"508,478",8.5,139,"District 1, Ho Chi Minh City"
9,HOME Hotel,"810,185",9.2,148,"Phu Nhuan, Ho Chi Minh City"
10,Au Lac Charner Hotel,"1,931,321",8.9,"1,093","District 1, Ho Chi Minh City"
11,Hà Nội Hotel,"778,523",8.0,472,"Tan Binh, Ho Chi Minh City"
12,Vilion Boutique Hotel Ben Thanh,"117,000",7.5,48,"District 1, Ho Chi Minh City"
13,LA VELA Saigon Hotel,"1,653,692",8.2,612,"District 3, Ho Chi Minh City"
14,Sunrise Central Hotel,"742,900",7.8,176,"District 1, Ho Chi Minh City"
15,The Myst Dong Khoi,"3,158,163",8.6,"1,129","District 1, Ho Chi Minh City"
16,The One Premium Hotel,"487,500",8.0,53,"District 1, Ho Chi Minh City"
17,Cola's Homestay,"368,640",8.9,307,"District 3, Ho Chi Minh City"
18,Emerald Central,"570,591",8.8,199,"District 3, Ho Chi Minh City"
19,9 Hostel and Bar,"353,832",8.2,904,"District 1, Ho Chi Minh City"
20,Silverland Yen Hotel,"2,238,390",8.8,932,"District 1, Ho Chi Minh City"
21,Ibis Saigon Airport,"1,152,000",8.3,944,"Tan Binh, Ho Chi Minh City"
22,Emerald Serviced Apartment,"587,400",9.1,28,"District 7, Ho Chi Minh City"
23,Caravelle Saigon,"3,296,456",8.9,522,"District 1, Ho Chi Minh City"
24,Fusion Suites Saigon,"3,218,984",9.0,"1,057","District 1, Ho Chi Minh City"
25,Orchids Saigon Hotel,"1,477,590",8.9,"2,112","District 3, Ho Chi Minh City"
26,Quý Hùng Hotel - City Centre,"389,520",7.3,195,"District 1, Ho Chi Minh City"
27,Sao Mai Hotel,"180,000",7.7,133,"District 5, Ho Chi Minh City"
28,New World Saigon Hotel,"2,901,280",8.8,369,"District 1, Ho Chi Minh City"
29,Paradise Saigon Boutique Hotel & Spa,"1,029,600",8.2,336,"District 1, Ho Chi Minh City"
30,DDA Hotel District 1- Bùi Viện-Đề Thám Walking Street,"90,000",7.8,187,"District 1, Ho Chi Minh City"
31,Alagon Saigon Hotel & Spa,"883,575",8.2,687,"District 1, Ho Chi Minh City"
32,Hotel Misaki Saigon Airport,"1,440,000",8.4,16,"Tan Binh, Ho Chi Minh City"
33,8B Aparthotel,"850,000",9.2,103,"Tan Binh, Ho Chi Minh City"
34,Hotel Nikko Saigon,"2,411,565",9.0,681,"District 1, Ho Chi Minh City"
35,Emerald Boutique Hotel,"216,000",8.0,107,"District 1, Ho Chi Minh City"
36,Liberty Central Saigon Citypoint,"3,438,184",8.7,644,"District 1, Ho Chi Minh City"
37,Air Star Hotel,"919,000",8.6,40,"Tan Binh, Ho Chi Minh City"
38,UpTown Hotel,"730,431",8.4,590,"District 1, Ho Chi Minh City"
39,Novotel Saigon Centre,"2,200,000",8.0,212,"District 3, Ho Chi Minh City"
40,Saigon Fairy Land - Masteri Millennium,"1,620,000",9.2,25,"District 4, Ho Chi Minh City"
41,Lucky Star Hotel 146 Nguyen Trai,"176,000",8.2,925,"District 1, Ho Chi Minh City"
42,S Lux Apartment,"1,232,500",9.0,54,"District 4, Ho Chi Minh City"
43,Prostyle Hotel Ho Chi Minh プロスタイルホテルホーチミン,"1,290,913",8.3,244,"District 1, Ho Chi Minh City"
44,Indochine Ben Thanh Hotel & Apartments,"1,125,000",8.2,726,"District 1, Ho Chi Minh City"
45,Sofitel Saigon Plaza,"4,000,000",8.6,221,"District 1, Ho Chi Minh City"
46,Oscar Saigon Hotel,"686,057",7.9,272,"District 1, Ho Chi Minh City"
47,Gia Long King Hotel,"720,000",8.6,569,"District 1, Ho Chi Minh City"
48,Ace Hotel Ben Thanh,"120,000",7.7,189,"District 1, Ho Chi Minh City"
49,EdenStar Saigon Hotel & Spa,"1,102,152",8.4,326,"District 1, Ho Chi Minh City"
50,The Blue Airport Hotel,"450,000",7.2,187,"Tan Binh, Ho Chi Minh City"
51,Grand Hotel Saigon,"3,638,013",8.6,"1,379","District 1, Ho Chi Minh City"
52,Adora Art Hotel,"560,000",8.6,318,"District 1, Ho Chi Minh City"
53,Vy Vy Airport Hotel,"440,000",8.6,333,"Tan Binh, Ho Chi Minh City"
54,Vilion Central Hotel,"117,000",7.0,464,"District 1, Ho Chi Minh City"
55,PARKROYAL Saigon,"1,972,599",8.3,93,"Tan Binh, Ho Chi Minh City"
56,"InterContinental Saigon, an IHG Hotel","4,430,000",8.7,136,"District 1, Ho Chi Minh City"
57,Green Star Hotel,"420,000",7.6,734,"District 1, Ho Chi Minh City"
58,Hotel Des Arts Saigon Mgallery Collection,"2,923,200",9.0,213,"District 3, Ho Chi Minh City"
59,Calmette Hotel,"500,650",8.4,151,"District 1, Ho Chi Minh City"
60,Huong Sen Annex Hotel,"783,000",8.9,609,"District 1, Ho Chi Minh City"
61,Charmaine's Hotel & Apartment,"800,000",9.0,68,"District 7, Ho Chi Minh City"
62,Cicilia Saigon Hotels & Spa,"925,585",7.9,882,"District 1, Ho Chi Minh City"
63,Grand Lee Hotel,"501,000",9.1,398,"Binh Thanh, Ho Chi Minh City"
64,Thien Ha Hotel & Apartment,"601,920",8.2,190,"District 7, Ho Chi Minh City"
65,Pharaon Hotel 2,"585,000",8.1,96,"District 1, Ho Chi Minh City"
66,Hotel Majestic Saigon,"2,122,449",8.4,"1,035","District 1, Ho Chi Minh City"
67,Winsuites Saigon,"1,093,091",8.8,"2,041","District 1, Ho Chi Minh City"
68,Hotel Continental Saigon,"1,793,552",8.0,216,"District 1, Ho Chi Minh City"
69,Huong Sen Hotel,"807,563",8.6,660,"District 1, Ho Chi Minh City"
70,Vinpearl Luxury Landmark 81,"3,981,826",9.0,347,"Binh Thanh, Ho Chi Minh City"
71,Ailen Garden Hotel,"434,700",8.1,133,"District 1, Ho Chi Minh City"
72,Na Nue Hotel,"481,574",8.3,371,"District 1, Ho Chi Minh City"
73,Pullman Saigon Centre,"2,272,000",8.5,466,"District 1, Ho Chi Minh City"
74,Homestead Parkview,"789,210",8.1,290,"District 1, Ho Chi Minh City"
75,Cabana Hotel SaiGon,"202,500",7.6,703,"District 1, Ho Chi Minh City"
76,Rex Hotel,"2,714,026",8.2,629,"District 1, Ho Chi Minh City"
77,Cap Town Hotel,"546,197",8.7,111,"District 1, Ho Chi Minh City"
78,Sunshine Boutique Hotel Phu My Hung,"642,048",8.0,87,"District 7, Ho Chi Minh City"
79,RedDoorz Premium Ura Hotel,"440,257",8.5,13,"District 7, Ho Chi Minh City"
80,Aladdin Hotel,"490,000",8.0,135,"Phu Nhuan, Ho Chi Minh City"
81,Botanist Lab Minihotel by CIRCADIAN,"751,120",8.1,15,"District 1, Ho Chi Minh City"
82,Vy Khanh Guesthouse,"350,000",9.5,197,"District 1, Ho Chi Minh City"
83,CityHouse - Kim Nguyên,"934,413",9.1,68,"Phu Nhuan, Ho Chi Minh City"
84,The Lumiere,"410,400",7.7,164,"Tan Binh, Ho Chi Minh City"
85,Icon Saigon - LifeStyle Design Hotel,"1,263,386",8.7,"1,322","District 1, Ho Chi Minh City"
86,Liberty Central Saigon Centre Hotel,"1,311,245",8.1,376,"District 1, Ho Chi Minh City"
87,Bay Hotel Ho Chi Minh,"714,865",8.2,211,"District 1, Ho Chi Minh City"
88,Muong Thanh Luxury Saigon Hotel,"1,756,800",8.2,427,"Phu Nhuan, Ho Chi Minh City"
89,Cozrum Homes Ambera House,"592,476",8.3,72,"District 1, Ho Chi Minh City"
90,Rosa Hotel & Spa,"427,500",7.3,297,"District 1, Ho Chi Minh City"
91,Northern Saigon Hotel,"1,174,927",8.1,324,"District 1, Ho Chi Minh City"
92,Ipeace Hotel,"472,943",8.2,490,"District 1, Ho Chi Minh City"
93,Renaissance Riverside Hotel Saigon,"3,132,000",8.5,102,"District 1, Ho Chi Minh City"
94,Savanna Hotel,"450,000",8.1,444,"District 1, Ho Chi Minh City"
95,Vika Homestay,"477,000",8.7,213,"District 1, Ho Chi Minh City"
96,Cozrum Homes - Rivera Corner,"551,042",8.8,100,"District 1, Ho Chi Minh City"
97,Dai Nam Sai Gon Hotel,"589,500",8.4,93,"District 1, Ho Chi Minh City"
98,Spotlight Hotel,"450,000",8.6,299,"District 1, Ho Chi Minh City"
99,Little Saigon Boutique Hotel,"840,000",8.6,157,"District 1, Ho Chi Minh City"
100,Athena Hotel,"1,280,000",7.8,79,"District 10, Ho Chi Minh City"
101,MAI HOUSE Saigon,"2,333,941",9.2,405,"District 3, Ho Chi Minh City"
102,Asian Ruby Center Point Hotel,"840,000",8.0,493,"District 1, Ho Chi Minh City"
103,Sunflowers Hotel,"580,000",7.2,23,"Tan Binh, Ho Chi Minh City"
104,Phan Anh Hotel - Bui Vien Walking Street,"500,000",8.5,230,"District 1, Ho Chi Minh City"
105,Alagon City Hotel & Spa,"826,403",8.3,486,"District 1, Ho Chi Minh City"
106,Ruby Star RedDoorz Hotel,"458,378",8.2,21,"District 3, Ho Chi Minh City"
107,M Hotel Saigon,"1,862,088",8.8,499,"District 1, Ho Chi Minh City"
108,Saigon Prince Hotel,"1,361,659",8.0,491,"District 1, Ho Chi Minh City"
109,RedDoorz Yen Nam - Hoang Van Thu Street,"462,792",8.9,21,"Phu Nhuan, Ho Chi Minh City"
110,My Villa Hotel - Airport,"614,965",8.1,353,"Tan Binh, Ho Chi Minh City"
