Year,New Or Old,Address,Production Origin,Color,Car Gearbox,Used (kilomet),Company,Fuel Type,Machine Capacity (L) Random,Price
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu đỏ, số tự động, 0, Mercedes, máy xăng, 3.0, 4 Tỷ 359 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 0, Mercedes, máy xăng, 2.0, 2 Tỷ 398 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đen, số tự động, 0, Mercedes, máy xăng, 2.0, 2 Tỷ 398 Triệu
2019, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 10000, Lexus, máy xăng, 2.0, 3 Tỷ 80 Triệu
2022, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 0, Toyota, máy xăng, 1.5, 688 Triệu
2017, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu đen, số tự động, 38000, Mercedes, máy xăng, 2.0, 1 Tỷ 539 Triệu
2017, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 75000, Honda, máy xăng, 2.4, 795 Triệu
2019, Xe cũ, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 35100, Mazda, máy xăng, 1.5, 503 Triệu
2010, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 7000, Hyundai, máy dầu, 2.0, 535 Triệu
2018, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu xanh, số tự động, 59000, Mercedes, máy xăng, 3.0, 3 Tỷ 450 Triệu
2022, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu trắng, số tự động, 30, Mercedes, máy xăng, 2.0, 3 Tỷ 189 Triệu
2020, Xe cũ, Long An, Xe lắp ráp trong nước, màu bạc, số tự động, 9000, Hyundai, máy xăng, 1.25, 399 Triệu
2020, Xe mới, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 0, BMW, máy xăng, 3.0, 5 Tỷ 869 Triệu
2021, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tự động, 0, Mazda, máy xăng, 2.0, 909 Triệu
2020, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu vàng, số tự động, 20000, Hyundai, máy xăng, 2.4, 1 Tỷ 120 Triệu
2021, Xe mới, Hà Nội, Xe nhập khẩu, màu trắng, số tay, 0, Mitsubishi, máy xăng, 1.2, 380 Triệu
2015, Xe cũ, Hà Nội, Xe nhập khẩu, màu đỏ, số tự động, 250000, Nissan, máy xăng, 1.6, 660 Triệu
2011, Xe cũ, Hưng Yên, Xe lắp ráp trong nước, màu đen, số tự động, 120000, Toyota, máy xăng, 1.8, 412 Triệu
2021, Xe cũ, TP HCM, Xe lắp ráp trong nước, màu đen, số tự động, 8000, Mercedes, máy xăng, 2.0, 1 Tỷ 779 Triệu
1993, Xe cũ, Hà Nội, Xe nhập khẩu, màu bạc, số tay, 300000, Toyota, máy xăng, 2.4, 69 Triệu
2015, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu cát, số tay, 62000, Toyota, máy xăng, 1.5, 299 Triệu
2016, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu cát, số tay, 62000, Toyota, máy xăng, 2.0, 368 Triệu
2016, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu cát, số tay, 60000, Toyota, máy xăng, 1.5, 305 Triệu
2016, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu cát, số tay, 60000, Toyota, máy xăng, 1.5, 299 Triệu
2008, Xe cũ, Hà Nội, Xe nhập khẩu, màu xám, số tự động, 91000, Toyota, máy xăng, 1.3, 285 Triệu
2019, Xe cũ, Bình Dương, Xe nhập khẩu, màu đen, số tự động, 56000, Ford, máy dầu, 2.0, 1 Tỷ 88 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 0, Mercedes, máy xăng, 2.0, 2 Tỷ 129 Triệu
2022, Xe mới, Thanh Hóa, Xe lắp ráp trong nước, màu trắng, số tự động, 0, Mazda, máy xăng, 1.5, 789 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu xanh, số tự động, 0, VinFast, máy xăng, 1.4, 352 Triệu
2017, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 35000, Ford, máy xăng, 1.5, 495 Triệu
2022, Xe mới, Hà Nội, Xe lắp ráp trong nước, màu đỏ, số tự động, 0, Hyundai, máy xăng, 2.0, 925 Triệu
2021, Xe mới, Phú Thọ, Xe lắp ráp trong nước, màu đen, số tự động, 0, Kia, máy xăng, 1.4, 694 Triệu
2022, Xe mới, Bà Rịa Vũng Tàu, Xe nhập khẩu, màu xanh, số tự động, 0, Ford, máy dầu, 2.0, 1 Tỷ 193 Triệu
2016, Xe cũ, Hà Nội, Xe nhập khẩu, màu xanh, số tự động, 22000, Porsche, máy xăng, 2.9, 5 Tỷ 479 Triệu
2022, Xe mới, Nam Định, Xe nhập khẩu, màu đen, số tự động, 0, Toyota, máy xăng, 1.8, 820 Triệu
2017, Xe cũ, Hà Nội, Xe nhập khẩu, màu đen, số tự động, 45000, Lexus, máy xăng, 3.5, 3 Tỷ 250 Triệu
2021, Xe cũ, Hà Nội, Xe lắp ráp trong nước, màu trắng, số tự động, 7000, VinFast, máy xăng, 2.0, 930 Triệu
