Id,Year,New Or Old,Name,Address,Production Origin,Color,Fuel,Car Gearbox,Used (kilomet),Price
4132061,2022,Xe mới,"Mercedes Benz GLE Class GLE 450 4Matic",Hà Nội,Xe nhập khẩu,màu đỏ,"máy xăng 3.0 L",số tự động,0,4 Tỷ 359 Triệu
3864921,2022,Xe mới,"Mercedes Benz GLC 300 4Matic",Hà Nội,Xe lắp ráp trong nước,màu đỏ,"máy xăng 2.0 L",số tự động,0,2 Tỷ 398 Triệu
4147049,2022,Xe mới,"Mercedes Benz GLC 300 4Matic",Hà Nội,Xe lắp ráp trong nước,màu đen,"máy xăng 2.0 L",số tự động,0,2 Tỷ 398 Triệu
4248075,2019,Xe cũ,"Lexus RX 300",Hà Nội,Xe nhập khẩu,màu đen,"máy xăng 2.0 L",số tự động,10000,3 Tỷ 80 Triệu
4294679,2022,Xe mới,"Toyota Veloz Cross Top 1.5 CVT",Hà Nội,Xe nhập khẩu,màu trắng,"máy xăng 1.5 L",số tự động,0,688 Triệu
4398170,2017,Xe cũ,"Mercedes Benz E class E200",TP HCM,Xe lắp ráp trong nước,màu đen,"máy xăng 2.0 L",số tự động,38000,1 Tỷ 539 Triệu
4373158,2017,Xe cũ,"Honda Accord 2.4 AT",Hà Nội,Xe nhập khẩu,màu trắng,"máy xăng 2.4 L",số tự động,75000,795 Triệu
4248068,2019,Xe cũ,"Mazda 2 Luxury",Hà Nội,Xe nhập khẩu,màu trắng,"máy xăng 1.5 L",số tự động,35100,503 Triệu
4368592,2010,Xe cũ,"Hyundai Tucson LX 2.0 eVGT",Hà Nội,Xe nhập khẩu,màu đen,"máy dầu 2.0 L",số tự động,7000,535 Triệu
4366597,2018,Xe cũ,"Mercedes Benz S class S450L",Hà Nội,Xe lắp ráp trong nước,màu xanh,"máy xăng 3.0 L",số tự động,59000,3 Tỷ 450 Triệu
4408624,2022,Xe cũ,"Mercedes Benz E class E300 AMG",TP HCM,Xe lắp ráp trong nước,màu trắng,"máy xăng 2.0 L",số tự động,30,3 Tỷ 189 Triệu
4403283,2020,Xe cũ,"Hyundai i10 Grand 1.2 AT",Long An,Xe lắp ráp trong nước,màu bạc,"máy xăng 1.25 L",số tự động,9000,399 Triệu
3596209,2020,Xe mới,"BMW X7 xDrive40i M Sport",Hà Nội,Xe nhập khẩu,màu đen,"máy xăng 3.0 L",số tự động,0,5 Tỷ 869 Triệu
3861032,2021,Xe mới,"Mazda CX 30 Premium 2.0 AT",Hà Nội,Xe nhập khẩu,màu trắng,"máy xăng 2.0 L",số tự động,0,909 Triệu
4373516,2020,Xe cũ,"Hyundai SantaFe Premium 2.4L HTRAC",Hà Nội,Xe lắp ráp trong nước,màu vàng,"máy xăng 2.4 L",số tự động,20000,1 Tỷ 120 Triệu
3184524,2021,Xe mới,"Mitsubishi Attrage 1.2 MT",Hà Nội,Xe nhập khẩu,màu trắng,"máy xăng 1.2 L",số tay,0,380 Triệu
