price,Displacement,Odometer,Stroke,Year,Weight,Engine Torque,Fuel Capacity
11995.0,125.0,35.0,4.38,2022.0,754.8326035911603,78.228,6.0
31995.0,1868.0,5.0,4.5,2022.0,756.0,122.0,6.0
33995.0,1868.0,81.0,4.5,2022.0,756.0,118.0,6.0
11995.0,1923.0,1354.0,4.5,2022.0,754.0,125.0,5.0
7499.0,249.0,20357.466614906833,3.8,2022.0,754.8326035911603,92.6,1.64
18500.0,1160.0,10.0,4.374,2022.0,754.8326035911603,92.0,4.03
11999.0,1801.0,20357.466614906833,4.5,2007.0,754.8326035911603,125.0,5.0
11500.0,900.0,418.0,4.374,2022.0,754.8326035911603,99.5,6.0
25995.0,1050.0,20357.466614906833,4.375,2017.0,754.8326035911603,98.8,5.0
29995.0,1868.118,600.0,4.5,2021.0,756.0,118.0,6.0
20995.0,1753.409,117.0,4.374,2021.0,754.0,109.0,5.0
21995.0,1753.409,2070.0,4.374,2021.0,756.0,111.0,6.0
25995.0,1868.118,1331.0,4.5,2021.0,756.0,118.0,6.0
30450.0,1868.0,3367.0,4.5,2021.0,756.0,122.0,6.0
31999.0,1868.0,2225.0,4.5,2021.0,756.0,122.0,6.0
35853.0,1917.279,4002.0,4.5,2021.0,756.0,125.0,6.0
29199.0,1868.118,2884.0,4.5,2021.0,756.0,118.0,6.0
29995.0,1868.118,6004.0,4.5,2021.0,756.0,118.0,6.0
29995.0,1868.118,790.0,4.5,2021.0,756.0,118.0,6.0
29999.0,1868.118,5830.0,4.5,2021.0,756.0,118.0,6.0
35853.0,1917.279,4017.0,4.5,2021.0,756.0,126.0,6.0
32495.0,1868.118,6171.0,4.5,2021.0,756.0,122.0,6.0
7000.0,1868.118,9489.0,4.5,2021.0,756.0,122.0,6.0
29987.0,1868.118,2166.0,4.5,2021.0,756.0,122.0,6.0
29995.0,1868.118,6976.0,4.5,2021.0,756.0,118.0,6.0
32995.0,1868.118,1347.0,4.5,2021.0,756.0,118.0,6.0
29995.0,1868.118,23.0,4.5,2021.0,756.0,118.0,6.0
30995.0,1868.118,3078.0,4.5,2021.0,756.0,118.0,6.0
