name,price,Odometer,Ground Clearance,,Electric Start,Type Approval,Fuel System,Throttle,Compression Ratio,Bed Capacity,Gears,"Seat Height, Laden",Protection Plan,Swingarm,"Weight, Maximum Capacity","Lean Angle, Right (deg.)",Turning Radius,Gear Ratios (overall) 6th,"Tires, Rear Specification",Induction,"Wheel Type, Optional Style",Vehicle Type,VIN,Gear Ratios (overall) 3rd,Shock Absorber,Rear braking system,Gear Ratios (overall) 2nd,Emissions,Front Suspension,Weight,Electrical,Dry Weight,Castor,"Reduction Ratio, Primary",Starter,Brake System Type,Seat Type,Trail,Oil Capacity (w/filter),Gearbox,Length,Height,Chassis,Overall Width,Gauges,"Rack capacity, front",Valve train,"Brake Disc Diameter, Rear",Year,Bed Box Dimensions (LxWxH),Drive/Driven Clutch,Carburetion,Acceleration,Rake/trail,Description,Motor Type,Front Wheel,"Gross Axle Weight Rating, Rear",Security Option,"Weight, In Running Order",Instrumentation,Fuel Injection,Rear Tires / Model,Fuel Economy: Combined City/Hwy,Drivetrain,Oil Filter,"Fuel Usage, 100% Load",Rear Wheel,Cylinders-Displacement (cc),Fuel Type,Spark Plug,Gear Ratios (overall) 5th,Engine Type,Warranty,"Maximum Torque, PTO",Oil capacity,Gear Ratios (overall) 4th,"Gross Axle Weight Rating, Front","Rack capacity, rear","Wheel Type, Front",Tail Light,Maximum Thrust,Stroke,Engine Torque,Engine Management,"Weight, As Shipped","Axle Capacity, Rear",Alternator,Stock Number,Fuel Capacity,Parking Brake,Cylinder Liners,Front Travel (in./cm.),Primary Drive,Fork,Rake (steering head) (deg),Transmission,"Range, City",Wheel Option,Steering,Turn Signal,California Emissions,Lighting,Air Cleaner,Final Drive,"Engine Torque, Maximum","Features, Optional",Raking Angle Degrees,Fuel Reserve,Motor Torque,Vivid Black,"Brake Disc Diameter, Front",Colors,Make,Front Wheel Travel,Rear Tire,Freight,Displacement,Curb Weight,Condition,Overall Height,Overall Vehicle Size (LxWxH),Note,Engine Power,Width,Family,"Reduction Ratio, Secondary",Model,Motor Power,Overall Width (in./cm.),Front Tire,"Steering Angle, Right",Overall Height (in./cm.),Gear Ratios (overall) 1st,Ignition,Engine,Transmission Fluid Volume,Lubrication,"Lean Angle, Left (deg.)",Duration,Rotor Diameter,Front Fork,Motor Controller,"Tires, Front Specification",Overall Length,Category,Rear Suspension,Chain Type,Unloaded Weight,Rear Shocks,Dimensions,Exhaust,Engine Torque (rpm),Engine Torque Testing Method,Operating Conditions,Oil Type,Front braking system,Luggage Capacity -Volume,Gear Shifter,Wheels,Maximum Power At Shaft,Cooling,Top Speed,Features,Two-Tone Option,Cooling System,Model Id,Wheelbase,Headlight Type,Payload Capacity,Rear Travel (in./cm.),Color,GVWR,Suspension,Luggage Capacity -Weight,Battery,"Tire Pressure, Rear",Clutch,"Rack capacity, total",Overall Length (in./cm.),"Steering Angle, Left","Tire Pressure, Front",Charging System,Bore,"Seat Height, Unladen",Cargo Capacity,Custom Color Option,Seat Height,Frame Type,Seating Capacity,Rear Wheel Travel,Front Tires / Model,Color Option,"Wheels Type, Rear","Brakes, Caliper Type",ABS Option,Drive System,Power System Type,Transmission/Final Drive,Engine Mount,Towing Capacity,Cruise Control Option,Color/Graphics
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 Can-Am® RYKER S,"$11,995 ",35,,,,,,,,,,,,,,,,,,,,Motorcycle / Scooter,3JB2JEG24NJ000036,,,,,,,,,,,,,,,,,,,,,,,,,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U000036WF,,,,,,,,,,,,,,,,,,,,,,,,,Can-Am®,,,,,,Pre-owned,,,,,,,,RYKER S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 Harley-Davidson® FLHTK - Ultra Limited,"$31,995 ",5,5.3 in.,,,,Electronic Sequential Port Fuel Injection (ESPFI),,10.5:1,,,27.5 in. (699 mm),,,,32,,2.875,BW 180/55B18 80H,,,Motorcycle / Scooter,1HD1KEF16NB614248,4.938,,,6.65,,,,,,,,,"Dual floating rotors (front), fixed rotor (rear)",,6.7 in. (170 mm),5 qt. (4.7 l),,"102.3 in. (2,600 mm)",,,,"Gauges styled to complement each vehicle. Display features odometer, trip A, trip B, range to empty and gear indicator; and larger tell-tale indicators",,,,2022,,,,,,,,,,Standard,917 lb. (416 kg),,,,43 mpg (5.5 l/100 km),,,,,,,,3.407,,,,,4,,,Slicer II cast aluminum with clear coat,,,4.5 in. (114.3 mm),122 ft-lb (166 Nm),,880 lb. (399 kg),,,U614248-MKE,6 gal. (22.7 l),,,,"Chain, 34/46 ratio",,26,,,,,,$200 ,"LED 34-watt, 915 lumen low beam, 37-watt, 915 lumen high beam with switchable 20-watt, 1,220 lumen LED Fog Lamps. Total of 2,136 lumen output at low beam with fog lights, 8W/28W tail/stop and front signal lights",,,,,,,,"$29,169 | w/Black Finish: $31,164",,,Harley-Davidson®,,"Dunlop® Harley-Davidson Series, bias blackwall front and rear",$750 ,"114 cu in (1,868 cc)",,Pre-owned,,,,,,Grand American Touring,,FLHTK - Ultra Limited,,,"Dunlop® Harley-Davidson Series, bias blackwall front and rear",,,9.593,,Twin-Cooled™ Milwaukee-Eight® 114,,,32,,,49mm Dual Bending Valve,,BW 130/70B18 63H,,Touring,,,,Premium standard height hand-adjustable rear suspension,,2-1-2 dual exhaust with tapered mufflers,3000,J1349,,,,4.7 cu ft (0.132 m3),,Optional Style Type: Gloss Black Slicer II,,,,,"$30,319 | w/Black Finish: $32,314",,,"64 in. (1,625 mm)",,,,,,,,,,,,,,,,4.016 in. (102 mm),29.1 in. (740 mm),,,,,,,,"$29,864 | w/Black Finish: $31,859 | Special Edition - Peace Officer & Fire: $28,699",Slicer II cast aluminum with clear coat,"32 mm, 4-piston fixed front and rear",Standard,,,,,,Standard,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 Harley-Davidson® FLTRXS - Road Glide® Special,"$33,995 ",81,,,,,Electronic Sequential Port Fuel Injection (ESPFI),,10.5:1,,,26.1 in. (663 mm),,,,32,,2.875,180/55B18 80H,,,Motorcycle / Scooter,1HD1KTP10NB609324,4.938,,,6.65,,,,,,,,,"Dual floating rotors (front), fixed rotor (rear)",,6.8 in. (173 mm),5.2 qt. (4.9 l),,"95.7 in. (2,430 mm)",,,,"Gauges styled to complement each vehicle. Display features odometer, trip A, trip B, range to empty and gear indicator; and larger tell-tale indicators",,,,2022,,,,,,,,,,Standard,853 lb. (387 kg),,,,43 mpg (5.5 l/100 km),,,,,,,,3.407,,,,,4,,,Gloss Black Prodigy,,,4.5 in. (114.3 mm),118 ft-lb (160 Nm),,818 lb. (371 kg),,,U609324WS,6 gal. (22.7 l),,,,"Chain, 34/46 ratio",,26,,,,,,$200 ,"LED 40-watt, 1,060 lumen low beam, 60-watt, 1560 lumen high beam, 8W/28W tail/stop, front signal lights and rear turn signals",,,,,,,,"$27,449 | W/Black Finish: $28,379",,,Harley-Davidson®,,,$750 ,"114 cu in (1,868 cc)",,Pre-owned,,,,,,Grand American Touring,,FLTRXS - Road Glide® Special,,,,,,9.593,,Milwaukee-Eight™ 114,,,31,,,49mm Dual Bending Valve,,130/60B19 61H,,Touring,,,,Premium Low Hand-Adjustable Rear Suspension,,2-1-2 dual exhaust with tapered mufflers,"3,25",J1349,,,,2.7 cu ft (0.071 m3),,Optional Style Type: Gloss Black Prodigy with Contrast Cut Highlight,,,,,"$28,449 | W/Black Finish: $29,379",,,"64 in. (1,625 mm)",,,,,,,,,,,,,,,,4.016 in. (102 mm),27.4 in. (695 mm),,,,,,,,"$28,024 | W/Black Finish: $28,954",Gloss Black Prodigy,"32 mm, 4-piston fixed front and rear",Standard,,,,,,Standard,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 Harley-Davidson® FXLRST - Low Rider® ST,Click for a Quote,1354,,,,,Electronic Sequential Port Fuel Injection (ESPFI),,10.2:1,,,27 in. (686 mm),,,,31.3,,2.79,"180/70B16,77H,BW",,,Motorcycle / Scooter,1HD1YXZ18NB028298,4.793,,,6.454,,,,,,,,,,,5.7 in. (145 mm),5 qt. (4.7 l),,"93.1 in. (2,365 mm)",,,,,,,,2022,,,,,,,,,,Standard,721 lb. (327 kg),,,,47 mpg (5 l/100 km),,,,,,,,3.307,,,,,3.882,,,"Dark bronze, Radiate cast aluminum wheel",,,4.5 in. (114.3 mm),125 ft-lb (169 Nm),,694 lb. (315 kg),,,U028298FR,5 gal. (18.9 l),,,,"Chain, 34/46 ratio",,28,,,,,,$200 ,,,,,,,,,"$21,749 ",,,Harley-Davidson®,,,$600 ,"117 cu in (1,923 cc)",,Pre-owned,,,,,,Cruiser,,FXLRST - Low Rider® ST,,,,,,9.311,,Milwaukee-Eight® 117,,,31.3,,,,,"110/90B19,62H,BW",,Cruiser,,,,,,2-into-2 offset shotgun; catalyst in muffler,"3,500",J1349,,,,1.9 cu ft (0.05 m3),,,,,,,,,,"63.6 in. (1,615 mm)",,,,,,,,,,,,,,,,4.075 in. (103.5 mm),28.3 in. (720 mm),,,,,,,,"$22,199 ","Dark bronze, Radiate cast aluminum wheel",4-piston fixed front and 2-piston floating rear,Standard,,,,,,Standard,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022 Kawasaki KX™250X,"$7,499 ",,13.0 in,,,,DFI® with 44mm Keihin throttle body and dual injectors,,14.1:1,,,,,,,,,,,,,Motorcycle / Scooter,JKBKXTDCXNA004512,,,Single 240mm Braking® petal disc with single-piston caliper,,,48mm inverted telescopic coil spring fork with 23-way compression damping and 20-way rebound damping,,,,,,,,,,,,,,,32.3 in,,,,,2022,,,,,27.8°/4.8 in,,,,,,,,,,,,,,,,,,,"4-stroke single, DOHC",,,,,,,,,,52.2mm,,,,,,U004512WSE,1.64 gal,,,,,,,"5-speed, return shift, with wet multi-disc manual clutch",,,,,,,,Chain,,,,,,,,Lime Green,Kawasaki,12.4 in,110/100-18,,249cc,230.2 lb without fuel/240.2 lb,Pre-owned,49.6 in,,,,,,,KX™250X,,,80/100-21,,,,Digital CDI,,,,,,,,,,85.4 in,Off-Road,"New Uni-Trak® with dual-range (2.25 turns high speed/21-way low-speed) compression damping, 38-way rebound damping and adjustable preload",,,,,,,,,,Single semi-floating 270mm Braking® petal disc with dual-piston caliper,,,,,,,,,liquid-cooled,,58.3 in,,,,,,,,,,,,,,,,78.0 mm,,,,37.2 in,Aluminum perimeter,,12.4 in,,,,,,,,,,,,
