Empty weight,Last timing belt change,General inspection,Offer number,Warranty,Body type,Paint,Gearbox,Cylinders,Fuel type,Gears,Type,Mileage,Full service history,Manufacturer colour,Seats,Last service,Production date,name,Comfort & Convenience,Model code,Emission class,Extras,Power,First registration,Engine size,Safety & Security,Colour,Previous owner,Country version,"Fuel consumption
2",Entertainment & Media,"CO₂-emissions
2",price
,,,,,Chopper/Cruiser,,,2,Gasoline,,Used,"15,000 km",Yes,,,,,TriumphBonneville Bobber,Electric Starter,,,,59 kW (80 hp),2018-09-01,"1,200 cc",Immobilizer,,1,,,,,"€ 11,350.-"
,,,,,Chopper/Cruiser,,Manual,2,Gasoline,5,Antique / Classic,"48,000 km",Yes,,,Aug-21,,YamahaXV 750,"Cover panel
Electric Starter
Topcase",,,,40 kW (54 hp),1992-05-01,750 cc,,Blue,,,,,,"€ 2,000.-"
,,,,,Moped,,Automatic,,Gasoline,1,Used,"1,649 km",,,,,,A.T.U,"Electric Starter
Kickstarter",,,,2 kW (3 hp),2014-03-01,49 cc,,Orange,1,,,,,€ 450.-
,,,,,Scooter,Metallic,Automatic,1,Gasoline,,Used,49 km,Yes,,,,,KymcoSuper 8,"Cover panel
Electric Starter",,,,3 kW (4 hp),2022-05-01,49 cc,,Red,1,,,,,"€ 2,550.-"
,,Jun-24,,,Naked Bike,,,,Gasoline,,Used,"1,050 km",Yes,,,Apr-21,,YamahaMT-07,,,,,35 kW (48 hp),2016-06-01,,ABS,Grey,1,,,,,"€ 5,000.-"
218 kg,,May-23,,,Naked Bike,,Manual,2,Gasoline,6,Used,"10,500 km",Yes,,,May-22,,Moto GuzziV 7,Crash bar,,,,34 kW (46 hp),2018-05-01,744 cc,ABS,Grey,2,,,,,"€ 7,200.-"
207 kg,,May-24,,,Supersport,,Manual,2,Gasoline,6,Used,830 km,Yes,,,,,HondaCBR 650,Electric Starter,,Euro 4,,35 kW (48 hp),2020-05-01,650 cc,"ABS
Immobilizer
Traction control",Black,1,,"5 l/100 km (comb.)
5.5 l/100 km (city)
4.5 l/100 km (country)",,,"€ 8,300.-"
,,,,,Others,,,,Gasoline,,Used,"52,000 km",Yes,,,,,Harley-DavidsonRoad King,"Crash bar
Electric Starter
Windshield",,,Catalytic Converter,70 kW (95 hp),2013-12-01,,"ABS
Alarm system
Immobilizer
Traction control",White,,,,,,"€ 20,000.-"
,,,,,Tourer,,,,Gasoline,,Used,"88,500 km",,,,,,BMWR 850 RT,Hot bar end,,,,54 kW (73 hp),1999-09-01,848 cc,ABS,,2,,,,,"€ 2,000.-"
,,Jul-22,,,Others,,,,Gasoline,,Used,"81,300 km",,,,,,YamahaX-Max 250,Topcase,,,,15 kW (20 hp),2006-07-01,,,Yellow,,,,,,€ 690.-
