address,area,price,floor,room,buildingLine
20,46.0,12.0,4.0,4.0,8.0
14,36.0,2.6,4.0,5.0,4.0
20,79.0,9.5,3.0,3.0,15.0
16,350.0,58.0,1.0,2.0,40.0
11,49.0,15.3,4.0,4.0,12.0
14,60.0,2.75,2.0,2.0,1.0
19,211.0,175.0,4.0,7.0,20.0
9,47.0,25.8,4.0,5.0,30.0
9,65.0,17.0,6.0,5.0,10.0
13,57.0,23.3,4.0,7.0,15.0
20,68.0,16.8,6.0,6.0,24.0
20,45.0,15.0,3.0,6.0,7.0
9,65.0,24.0,5.0,5.0,25.0
12,65.0,68.0,4.0,5.0,40.0
12,33.0,2.9,3.0,4.0,2.0
20,47.0,14.0,4.0,5.0,8.0
14,38.0,2.85,3.0,5.0,6.0
20,65.0,10.5,6.0,5.0,5.0
13,140.0,150.0,30.0,8.0,20.0
18,38.0,5.2,3.0,5.0,4.0
16,50.0,8.2,4.0,5.0,15.0
11,30.0,3.3,3.0,4.0,2.5
20,131.0,20.0,8.0,4.0,10.0
20,36.0,4.7,3.0,5.0,2.5
20,50.0,15.0,4.0,6.0,5.0
14,49.0,4.95,1.0,1.0,3.0
20,61.0,18.7,6.0,6.0,10.0
18,72.0,10.8,4.0,4.0,4.0
9,50.0,15.5,4.0,5.0,5.0
16,55.0,5.3,4.0,4.0,3.0
14,45.0,5.69,1.0,1.0,4.0
18,62.0,7.2,5.0,4.0,3.0
20,90.0,13.5,4.0,4.0,10.0
20,45.0,6.5,9.0,5.0,3.0
20,41.0,5.2,4.0,4.0,2.5
16,39.0,3.38,3.0,5.0,3.0
20,45.0,5.3,4.0,5.0,2.5
20,65.0,18.7,8.0,6.0,5.0
14,26.0,1.8,3.0,4.0,1.0
12,53.0,3.0,5.0,5.0,3.5
16,62.0,7.5,6.0,5.0,20.0
16,135.0,25.6,4.0,4.0,15.0
16,201.0,18.0,4.0,4.0,15.0
16,234.0,40.0,6.0,4.0,25.0
16,184.0,39.0,4.0,4.0,25.0
2,100.0,6.5,5.0,5.0,12.0
2,100.0,6.7,5.0,5.0,12.0
2,100.0,11.5,5.0,5.0,33.0
2,100.0,6.5,5.0,5.0,12.0
2,100.0,6.7,5.0,5.0,17.0
2,100.0,6.3,5.0,5.0,12.0
2,90.0,10.35,5.0,5.0,33.0
2,90.0,5.85,5.0,5.0,12.0
2,90.0,5.4,5.0,5.0,12.0
18,120.0,9.8,4.0,4.0,3.0
19,126.0,54.0,4.0,5.0,7.0
16,140.0,26.0,6.0,4.0,20.0
16,213.0,34.0,5.0,4.0,20.0
14,350.0,55.0,6.0,4.0,25.0
14,350.0,60.0,6.0,4.0,35.0
14,38.0,2.85,3.0,5.0,6.0
20,65.0,10.5,6.0,5.0,5.0
13,140.0,150.0,30.0,8.0,20.0
18,38.0,5.2,3.0,5.0,4.0
14,33.0,3.4,3.0,5.0,3.0
14,98.0,7.5,4.0,3.0,6.0
12,49.0,15.0,5.0,5.0,8.0
16,86.0,26.2,6.0,3.0,40.0
12,69.0,20.6,8.0,7.0,15.0
16,79.0,13.5,1.0,1.0,15.0
16,55.0,13.3,4.0,5.0,25.0
16,85.0,17.0,4.0,4.0,25.0
14,86.0,17.2,4.0,4.0,15.0
16,47.0,4.65,4.0,4.0,7.0
20,55.0,10.0,4.0,5.0,8.0
12,32.0,4.8,3.0,4.0,5.0
20,84.0,6.3,1.0,1.0,3.0
4,100.0,6.0,6.0,5.0,6.0
19,36.0,8.2,3.0,5.0,15.0
12,60.0,10.9,4.0,4.0,6.0
20,84.0,6.3,1.0,1.0,1.0
4,100.0,6.0,6.0,5.0,6.0
19,36.0,8.2,3.0,5.0,3.0
12,60.0,10.9,4.0,4.0,6.0
20,60.0,8.0,4.0,5.0,4.5
20,100.0,28.0,8.0,6.0,15.0
16,70.0,5.22,4.0,3.0,4.0
19,80.0,22.5,6.0,6.0,5.0
19,143.0,50.0,13.0,7.0,4.0
9,40.0,7.8,3.0,3.0,8.0
19,397.0,120.0,14.0,7.0,20.0
16,68.0,21.0,4.0,1.0,20.0
19,83.0,45.0,8.0,6.0,5.0
16,82.0,8.7,5.0,5.0,10.0
16,50.0,12.0,4.0,8.0,6.0
19,56.0,12.0,4.0,4.0,10.0
16,62.0,7.0,6.0,4.0,3.0
16,52.0,7.3,4.0,3.0,9.0
16,50.0,7.22,30.0,5.0,3.0
16,33.0,3.78,4.0,4.0,3.0
16,52.0,7.3,4.0,4.0,50.0
16,50.0,7.22,3.0,5.0,12.0
16,33.0,3.78,5.0,5.0,15.0
16,90.0,13.0,4.0,4.0,5.0
16,45.0,5.0,10.0,4.0,2.5
16,53.0,9.0,4.0,4.0,11.0
16,60.0,6.11,2.0,1.0,3.0
20,50.0,18.5,4.0,4.0,8.0
16,70.0,5.67,6.0,5.0,20.0
16,60.0,5.0,3.0,4.0,10.0
20,60.0,6.7,4.0,5.0,4.0
16,55.0,3.78,6.0,5.0,6.0
16,106.0,10.0,5.0,5.0,39.0
16,55.0,7.0,5.0,6.0,3.0
16,38.0,4.89,3.0,1.0,4.0
19,59.0,24.0,4.0,4.0,6.0
18,99.0,6.4,1.0,1.0,40.0
16,96.0,5.55,5.0,5.0,20.0
19,111.0,90.0,13.0,7.0,15.0
9,66.0,16.5,5.0,4.0,5.0
16,60.0,5.0,5.0,4.0,10.0
20,60.0,6.7,4.0,5.0,4.0
16,55.0,3.78,3.0,5.0,10.0
16,106.0,10.0,2.0,4.0,3.0
16,55.0,7.0,5.0,6.0,20.0
16,38.0,4.89,6.0,7.0,3.0
19,59.0,24.0,4.0,4.0,6.0
18,99.0,6.4,1.0,1.0,40.0
16,96.0,5.55,4.0,4.0,15.0
19,111.0,90.0,13.0,7.0,15.0
9,66.0,16.5,5.0,4.0,5.0
19,108.0,28.5,5.0,5.0,10.0
9,76.0,18.0,5.0,5.0,6.0
19,266.0,68.0,3.0,3.0,15.0
19,101.0,45.0,12.0,10.0,8.0
19,106.0,30.0,9.0,7.0,5.0
19,50.0,13.4,5.0,7.0,10.0
18,101.0,0.02,16.0,8.0,10.0
19,136.0,36.0,6.0,5.0,4.0
19,142.0,16.8,4.0,3.0,8.0
19,101.0,45.0,12.0,10.0,8.0
19,106.0,30.0,9.0,7.0,5.0
19,50.0,13.4,5.0,7.0,10.0
18,101.0,0.02,16.0,8.0,10.0
19,136.0,36.0,6.0,5.0,4.0
19,142.0,16.8,4.0,3.0,8.0
11,66.0,23.0,4.0,5.0,15.0
20,120.0,25.0,5.0,2.0,15.0
4,76.0,5.02,4.0,4.0,30.0
18,100.0,0.02,16.0,8.0,10.0
11,190.0,35.5,10.0,6.0,30.0
18,50.0,15.5,6.0,6.0,21.0
18,40.0,4.0,4.0,5.0,15.0
18,40.0,7.9,4.0,5.0,8.0
18,63.0,16.8,4.0,6.0,10.0
15,38.0,9.8,4.0,5.0,8.0
15,35.0,9.2,4.0,5.0,30.0
15,85.0,12.8,4.0,5.0,21.0
15,60.0,12.0,12.0,7.0,10.0
15,60.0,11.0,4.0,4.0,12.0
15,35.0,9.2,3.0,3.0,10.0
20,30.0,2.68,4.0,4.0,10.0
12,100.0,31.8,3.0,1.0,20.0
14,54.0,6.5,3.0,4.0,4.0
18,61.0,9.0,5.0,5.0,15.0
18,97.0,6.4,1.0,1.0,40.0
12,110.0,17.7,4.0,4.0,8.0
15,45.0,2.95,4.0,4.0,6.0
15,35.0,4.2,2.0,1.0,6.0
18,55.0,14.5,9.0,4.0,15.0
18,52.0,6.1,3.0,3.0,4.0
12,106.0,17.4,3.0,3.0,6.0
20,65.0,9.5,8.0,5.0,4.0
15,52.0,3.65,4.0,4.0,10.0
