address,area,price,floor,room,buildingLine
" Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",46m2,12 tỷ ,4,4,8m
" Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",36m2,"2,6 tỷ ",4,5,4m
" Đường Văn Chương, Phường Khâm Thiên, Quận Đống Đa, Hà Nội",79m2,"9,5 tỷ ",---,3,15m
" Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Hà Nội",350m2,58 tỷ ,1,2,40m
" Đường 800A, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",49m2,"15,3 tỷ ",4,4,12m
" Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",60m2,"2,75 tỷ ",2,2,1m
" Đường Nguyễn Đình Thi, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",211m2,175 tỷ ,4,7,20m
" Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",47m2,"25,8 tỷ ",4,5,30m
" Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội",65m2,17 tỷ ,6,5,10m
" Phố Hàng Hương, Phường Hàng Mã, Quận Hoàn Kiếm, Hà Nội",57m2,"23,3 tỷ ",4,7,15m
" Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",68m2,"16,8 tỷ ",6,6,---
" Phố Thái Hà, Phường Láng Hạ, Quận Đống Đa, Hà Nội",45m2,15 tỷ ,3,6,---
" Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",65m2,24 tỷ ,5,5,25m
" Phố Bà Triệu, Phường Nguyễn Du, Quận Hai Bà Trưng, Hà Nội",65m2,68 tỷ ,4,5,40m
" Phố Đại La, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội",33m2,"2,9 tỷ ",3,4,2m
" Phố Thái Thịnh, Phường Thịnh Quang, Quận Đống Đa, Hà Nội",47m2,14 tỷ ,4,5,8m
" Đường Thanh Lân, Phường Thanh Trì, Quận Hoàng Mai, Hà Nội",38m2,"2,85 tỷ ",3,5,6m
" Phố Phương Mai, Phường Phương Mai, Quận Đống Đa, Hà Nội",65m2,"10,5 tỷ ",6,5,5m
" Phố Hàng Bông, Phường Hàng Bông, Quận Hoàn Kiếm, Hà Nội",140m2,150 tỷ ,30,8,20m
" Đường Hoàng Đạo Thành, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",38m2,"5,2 tỷ ",3,5,4m
" Đường Thanh Am, Phường Thượng Thanh, Quận Long Biên, Hà Nội",50m2,"8,2 tỷ ",4,5,15m
" Đường Võ Chí Công, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",30m2,"3,3 tỷ ",3,4,"2,5m"
" Đường Thổ Quan, Phường Thổ Quan, Quận Đống Đa, Hà Nội",131m2,20 tỷ ,8,4,10m
" Phố Tây Sơn, Phường Hàng Bột, Quận Đống Đa, Hà Nội",36m2,"4,7 tỷ ",3,5,"2,5m"
" Phố Nguyễn Phúc Lai, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",50m2,15 tỷ ,4,6,5m
" Phố Đại Từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",49m2,"4,95 tỷ ",1,1,3m
" Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",61m2,"18,7 tỷ ",6,6,10m
" Đường Hoàng Đạo Thành, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",72m2,"10,8 tỷ ",4,4,4m
" Đường Đào Tấn, Phường Cống Vị, Quận Ba Đình, Hà Nội",50m2,"15,5 tỷ ",4,5,5m
" Đường Lâm Du Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội",55m2,"5,3 tỷ ",4,4,3m
" Đường Định Công Thượng, Phường Định Công, Quận Hoàng Mai, Hà Nội",45m2,"5,69 tỷ ",1,1,4m
" Đường Khương Trung, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",62m2,"7,2 tỷ ",5,4,3m
" Phố Chùa Bộc, Phường Trung Liệt, Quận Đống Đa, Hà Nội",90m2,"13,5 tỷ ",4,4,10m
" Phố Vũ Ngọc Phan, Phường Láng Hạ, Quận Đống Đa, Hà Nội",45m2,"6,5 tỷ ",9,5,3m
" Đường Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",41m2,"5,2 tỷ ",4,4,"2,5m"
" Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",39m2,"3,38 tỷ ",3,5,3m
" Phố Tây Sơn, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",45m2,"5,3 tỷ ",4,5,"2,5m"
" Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",65m2,"18,7 tỷ ",8,6,5m
" Đường Lĩnh Nam, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",26m2,"1,8 tỷ ",3,4,1m
" Đường Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",53m2,3 tỷ ,5,5,"3,5m"
" Đường Đặng Vũ Hỷ, Phường Thượng Thanh, Quận Long Biên, Hà Nội",62m2,"7,5 tỷ ",6,5,20m
" Đường Chu Huy Mân, Phường Phúc Đồng, Quận Long Biên, Hà Nội",135m2,"25,6 tỷ ",4,4,15m
" Đường Ngô Gia Tự, Phường Đức Giang, Quận Long Biên, Hà Nội",201m2,18 tỷ ,4,4,15m
" Phường Việt Hưng, Quận Long Biên, Hà Nội",234m2,40 tỷ ,6,4,25m
